Date,Open,High,Low,Close,Adj Close,Volume,Return,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_SIGNAL,MACD_HIST,BB_MIDDLE,BB_UPPER,BB_LOWER,BB_WIDTH,Next_Return,Target,Signal,Position,Trade_Action,Portfolio_Value,Strategy_Return
2018-03-14,45.08000183105469,45.130001068115234,44.45249938964844,44.61000061035156,41.92034149169922,117473600,-0.008501370068183078,41.29978923797607,40.39465774536133,41.251009968509564,62.36464570942616,0.6426686664223027,0.5554530145804093,0.0872156518418934,41.29978923797607,42.97936233631991,39.620216139632234,0.08133567407164552,0.0011771593949896353,0,0,0,0,10000.0,0.0
2018-03-15,44.625,45.060001373291016,44.51750183105469,44.662498474121094,41.969688415527344,90975200,0.0011771593949896353,41.432288551330565,40.427968215942386,41.319455534892214,57.41883622229242,0.618718003459044,0.5681060123561362,0.050611991102907816,41.432288551330565,42.852183742449284,40.012393360211846,0.06854051469349118,-0.0035262352594076507,0,0,0,0,10000.0,0.0
2018-03-16,44.662498474121094,44.779998779296875,44.404998779296875,44.505001068115234,41.821693420410156,157618800,-0.0035262352594076507,41.491373443603514,40.458459091186526,41.36728771446535,47.41718415989504,0.5810964530544567,0.5707041004958003,0.010392352558656337,41.491373443603514,42.870203892484355,40.11254299472267,0.066463475871918,-0.015279332712231142,-1,-1,0,0,10000.0,0.0
2018-03-19,44.33000183105469,44.36750030517578,43.415000915527344,43.82500076293945,41.18268585205078,133787200,-0.015279332712231142,41.525085639953616,40.47242607116699,41.349706584711576,42.47453600077195,0.49402373485633433,0.5553680273679071,-0.06134429251157281,41.525085639953616,42.833920163487306,40.216251116419926,0.06303825763934787,-0.0003423555506895104,0,-1,0,0,10000.0,0.0
2018-03-20,43.810001373291016,44.20000076293945,43.73500061035156,43.810001373291016,41.16858673095703,78597600,-0.0003423555506895104,41.56490535736084,40.47689239501953,41.33245707483019,42.91343396172137,0.41904975242176334,0.5281043723786784,-0.10905461995691501,41.56490535736084,42.77043590309679,40.359374811624896,0.058007135364375656,-0.02265463119404587,-1,-1,0,0,10000.0,0.0
2018-03-21,43.7599983215332,43.772499084472656,42.814998626708984,42.817501068115234,40.23592758178711,148219600,-0.02265463119404587,41.567254829406735,40.465747299194334,41.22802569454037,41.19038067851913,0.2811337969917034,0.47871025730128336,-0.19757646030957998,41.567254829406735,42.76162577205638,40.372883886757094,0.057466914644778704,-0.014129555642336644,-1,-1,0,0,10000.0,0.0
2018-03-22,42.5,43.16999816894531,42.150001525878906,42.212501525878906,39.66741180419922,165963200,-0.014129555642336644,41.524381446838376,40.44332557678223,41.079395800222166,33.55689894853542,0.12452449584157677,0.40787310500934204,-0.2833486091677653,41.524381446838376,42.920773325016704,40.12798956866005,0.0672564806277035,-0.023156732836636995,-1,-1,0,0,10000.0,0.0
2018-03-23,42.09749984741211,42.47999954223633,41.23500061035156,41.23500061035156,38.748844146728516,164115200,-0.023156732836636995,41.40034084320068,40.40271965026855,40.85743849988944,26.869272044605808,-0.07287023409811155,0.3117244371878513,-0.38459467128596286,41.40034084320068,43.268134178748014,39.53254750765335,0.09023081923993806,0.047471607222722145,1,-1,0,0,10000.0,0.0
2018-03-26,42.01750183105469,43.275001525878906,41.61000061035156,43.192501068115234,40.588314056396484,150164800,0.047471607222722145,41.32751331329346,40.394270248413086,40.83180760050916,44.154642467052305,-0.07995545440101637,0.23338845887007778,-0.3133439132710941,41.32751331329346,43.20306214874917,39.45196447783775,0.09076514336769538,-0.025641206381626702,-1,-1,0,0,10000.0,0.0
2018-03-27,43.41999816894531,43.787498474121094,41.72999954223633,42.084999084472656,39.54758071899414,163690400,-0.025641206381626702,41.209462356567386,40.356536407470706,40.709500278460105,40.74684789492834,-0.16761684247213537,0.15318739860163516,-0.32080424107377054,41.209462356567386,43.223140542202835,39.19578417093194,0.0977289229455107,-0.011049022967811517,-1,-1,0,0,10000.0,0.0
